"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"150",3,0,0,1,0,40,0,0,14.7043180465698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"151",3,1,1,0,0,29,0,0,15.3974647521973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"152",5,1,1,0,0,36,1,0,15.325343132019,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"153",2,1,0,1,0,46,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"154",6,1,0,0,0,41,0,0,15.6206083297729,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"155",6,1,1,0,0,36,0,0,14.5707864761353,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"156",10,1,0,0,0,50,0,0,15.3329267501831,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"157",5,1,0,1,0,35,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"158",3,1,1,0,0,34,1,0,15.635498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"159",4,1,1,1,0,42,0,0,15.1097831726074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"160",10,1,0,1,0,53,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"161",6,0,0,1,0,30,1,0,14.31374168396,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"162",6,0,0,1,0,41,1,1,14.53688621521,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",4,0,0,1,0,42,1,0,15.635498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"164",5,1,0,1,0,38,0,0,14.1627111434937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"165",4,1,0,1,0,46,0,0,14.9274616241455,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"166",4,1,0,1,0,48,0,0,13.7192974090576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"167",6,0,0,1,0,47,1,0,15.2300329208374,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"168",5,0,0,1,0,42,0,0,15.6206083297729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"169",6,1,0,1,0,26,1,0,14.31374168396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"170",1,1,1,1,0,42,1,0,15.635498046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"171",4,1,0,1,0,52,1,1,15.635498046875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",1,0,1,1,0,33,0,0,13.7192974090576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"173",4,1,0,0,0,25,1,0,15.2300329208374,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"174",3,0,0,1,0,38,0,1,14.0111703872681,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
