"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"119",5,0,0,0,0,28,1,0,14.1050605773926,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"120",6,1,0,0,0,33,1,1,15.2213277816772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",5,1,0,0,0,29,1,0,13.6118898391724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"122",5,1,0,1,0,36,0,1,14.600022315979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",4,0,0,0,0,27,1,0,14.1277027130127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"124",3,1,0,0,1,24,1,0,11.7555913925171,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"125",2,0,0,1,0,21,1,1,14.2404985427856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",7,1,0,1,1,24,1,0,14.2242317199707,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"127",6,0,0,0,0,38,0,1,13.8378820419312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",3,0,1,1,1,26,0,0,13.3190879821777,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"129",4,0,1,0,1,40,1,1,12.3056383132935,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",3,1,0,1,0,36,0,0,15.3985300064087,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"131",7,1,1,0,1,26,0,1,12.8623399734497,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"132",11,1,0,0,0,38,0,0,14.3487071990967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"133",5,1,0,1,0,46,1,1,14.6272144317627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",4,0,0,1,0,42,1,0,12.2255954742432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"135",14,1,1,0,0,22,1,1,13.7296724319458,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",6,1,0,0,0,52,0,1,13.670316696167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",3,1,0,1,0,50,0,1,15.3985300064087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2,0,0,0,1,27,1,0,14.031307220459,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"139",7,1,0,0,1,43,0,0,13.3190879821777,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"140",6,0,1,0,0,23,1,0,14.6172504425049,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"141",3,0,0,1,0,31,1,1,13.3242073059082,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",7,1,0,1,0,50,1,0,14.5728311538696,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"143",7,1,0,1,0,40,0,0,15.3985300064087,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"144",9,1,0,0,0,54,1,1,14.2404985427856,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",2,1,1,0,1,50,1,0,13.8400039672852,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"146",10,0,0,0,0,40,1,0,14.1715049743652,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"147",6,1,0,0,1,27,0,0,15.0826778411865,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"148",5,0,0,1,0,32,1,0,13.6118898391724,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"149",5,1,0,0,0,40,0,0,15.3985300064087,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"150",10,1,0,1,0,55,1,0,14.7513236999512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"151",3,1,0,1,1,54,1,0,14.5281801223755,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"152",5,0,0,0,0,28,0,1,14.8877038955688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",8,0,1,0,0,37,0,1,15.1108474731445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",9,1,1,0,1,48,0,0,14.106143951416,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
