"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"110",3,1,0,0,1,24,0,0,14.19349193573,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"111",9,1,1,0,1,28,1,1,14.9423503875732,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",6,1,0,0,1,42,1,0,15.4123544692993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"113",3,0,0,1,1,53,0,0,14.3392429351807,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"114",6,1,0,0,1,44,0,0,15.2151432037354,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"115",6,1,0,0,1,57,1,0,15.2708549499512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"116",3,0,0,0,1,23,1,0,12.457444190979,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"117",3,1,0,0,1,50,0,0,14.7451400756836,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"118",5,1,0,0,1,42,0,1,13.0303411483765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",4,0,0,0,1,54,0,0,14.3077487945557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"120",4,1,0,1,1,34,1,1,14.0218782424927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",7,1,0,0,1,54,1,1,13.1505918502808,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",7,0,1,0,1,31,1,0,12.2343006134033,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"123",5,1,0,0,1,39,1,0,15.4123544692993,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"124",5,0,0,1,1,49,0,0,13.7234888076782,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"125",5,1,0,0,1,31,1,1,12.7451257705688,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",5,0,1,1,1,43,0,0,15.3329267501831,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"127",1,1,0,0,1,53,0,0,11.9317293167114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"128",5,0,0,0,1,31,0,1,12.337194442749,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",8,1,0,0,1,52,0,0,12.442554473877,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"130",3,1,0,0,1,35,1,1,14.3341569900513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"131",5,0,0,1,1,32,1,0,14.9423503875732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"132",6,1,0,1,1,57,0,0,14.3077487945557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"133",2,1,0,0,1,54,0,0,14.4166355133057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"134",3,1,0,1,1,43,1,0,13.8437385559082,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"135",1,1,1,0,1,42,1,1,14.1802110671997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",10,1,0,0,1,28,1,1,15.4123544692993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",8,0,0,0,1,45,0,0,9.62914371490479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"138",4,0,0,0,1,33,0,1,13.5927200317383,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",4,1,0,0,1,29,0,0,13.3180236816406,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"140",5,1,0,0,1,32,0,0,12.5378646850586,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"141",8,1,0,0,1,40,1,1,14.3545637130737,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",4,1,0,0,1,50,1,0,13.9237813949585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"143",8,1,0,0,1,33,1,0,14.3545637130737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"144",5,1,0,0,1,47,1,0,13.8437385559082,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"145",5,1,0,0,1,42,1,1,14.3341569900513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",3,0,0,0,1,22,0,0,13.8486518859863,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"147",8,1,0,1,1,48,0,0,15.438286781311,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"148",5,0,0,0,1,45,1,0,14.0905990600586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"149",3,1,0,1,1,54,1,0,15.0477113723755,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"150",5,1,0,0,1,52,1,0,12.0519790649414,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"151",3,1,0,0,1,44,0,1,14.3181371688843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",5,0,1,1,1,35,0,0,14.3392429351807,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"153",8,0,0,0,1,39,1,0,13.1505918502808,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
